"","coexpression_counts"
"AK2",111
"AZIN2",9
"TRIM62",10
"AL662907.3",0
"ZNF362",38
"AL513327.3",0
"A3GALT2",0
"AL513327.1",0
"PHC2",128
"AL513327.2",0
"ZSCAN20",5
"CSMD2",22
"HMGB4",0
"CSMD2-AS1",0
"C1orf94",0
"SMIM12",153
"GJB5",0
"GJB4",0
"AL121988.1",0
"GJB3",0
"GJA4",0
"AL122010.1",0
"DLGAP3",0
"AC114490.3",10
"AC114490.2",2
"TMEM35B",4
"ZMYM6",34
"ZMYM1",10
"AL590434.1",0
"SFPQ",168
"ZMYM4",62
"ZMYM4-AS1",0
"KIAA0319L",95
"NCDN",68
"AC004865.2",0
"TFAP2E",1
"PSMB2",139
"C1orf216",47
"CLSPN",8
"AL354864.1",0
"AGO4",23
"AGO1",60
"AL139286.2",0
"AGO3",52
"AL138787.2",0
"TEKT2",0
"ADPRHL2",62
"COL8A2",15
"TRAPPC3",158
"MAP7D1",162
"THRAP3",164
"SH3D21",2
"EVA1B",207
"AL591845.1",11
"STK40",32
"LSM10",171
"OSCP1",19
"MRPS15",188
"CSF3R",1
"AL596257.1",0
"AC117945.2",0
"AC117945.1",0
"GRIK3",0
"AL031430.1",0
"AL353604.1",0
"LINC01137",16
"ZC3H12A",81
"MEAF6",168
"SNIP1",30
"DNALI1",29
"GNL2",43
"RSPO1",0
"C1orf109",35
"CDCA8",4
"EPHA10",0
"MANEAL",1
"AL929472.3",0
"YRDC",48
"C1orf122",212
"MTF1",54
"AL929472.2",0
"INPP5B",17
"SF3A3",69
"FHL3",115
"UTP11",83
"POU3F1",0
"AL139158.2",1
"AL139158.3",0
"LINC01343",0
"LINC01685",0
"AL354702.2",0
"RRAGC",153
"AL139260.1",69
"MYCBP",28
"AL139260.3",0
"GJA9",0
"RHBDL2",2
"AKIRIN1",138
"NDUFS5",214
"MACF1",181
"AL442071.1",0
"BMP8A",0
"PABPC4",207
"AL365277.1",0
"HEYL",0
"AL035404.2",0
"NT5C1A",0
"HPCAL4",0
"PPIE",77
"BMP8B",0
"OXCT2",3
"AL033527.3",0
"AL033527.5",0
"AL033527.4",0
"TRIT1",13
"MYCL",2
"AL033527.2",4
"MFSD2A",6
"CAP1",207
"PPT1",88
"RLF",19
"TMCO2",0
"AL050341.2",13
"ZMPSTE24",136
"COL9A2",2
"SMAP2",63
"AL031985.4",0
"ZFP69B",0
"ZFP69",2
"AL603839.3",5
"EXO5",9
"AL603839.1",0
"AL603839.2",0
"ZNF684",4
"RIMS3",1
"AL031289.1",0
"NFYC-AS1",1
"NFYC",56
"KCNQ4",0
"CITED4",42
"AC119677.1",0
"CTPS1",29
"SLFNL1-AS1",0
"SLFNL1",0
"SCMH1",45
"AC093151.3",0
"FOXO6",0
"AC093151.2",0
"EDN2",0
"HIVEP3",62
"AL445933.2",0
"AC119676.1",0
"GUCA2B",0
"GUCA2A",0
"FOXJ3",64
"RIMKLA",0
"ZMYND12",0
"PPCS",104
"CCDC30",2
"PPIH",46
"AC098484.2",1
"YBX1",216
"CLDN19",0
"P3H1",104
"C1orf50",21
"AC098484.3",1
"AC098484.1",0
"TMEM269",0
"SVBP",108
"ERMAP",22
"AL512353.1",2
"ZNF691",14
"SLC2A1",66
"SLC2A1-AS1",11
"AC099795.1",0
"FAM183A",1
"EBNA1BP2",118
"CFAP57",7
"TMEM125",0
"C1orf210",0
"TIE1",0
"MPL",0
"AL139289.2",1
"CDC20",12
"ELOVL1",125
"MED8",104
"AL139289.1",0
"SZT2",28
"SZT2-AS1",0
"HYI",158
"PTPRF",154
"AL451062.3",0
"KDM4A",39
"KDM4A-AS1",5
"ST3GAL3",43
"AL451062.1",0
"ARTN",1
"AL357079.1",1
"IPO13",34
"DPH2",29
"ATP6V0B",202
"B4GALT2",143
"CCDC24",16
"SLC6A9",8
"AL139220.2",11
"KLF17",0
"KLF18",0
"DMAP1",29
"ERI3",109
"RNF220",72
"TMEM53",43
"ARMH1",0
"KIF2C",3
"AL592166.1",1
"RPS8",216
"BEST4",5
"PLK3",122
"TCTEX1D4",0
"BTBD19",40
"PTCH2",4
"EIF2B3",15
"HECTD3",34
"UROD",130
"ZSWIM5",0
"LINC01144",0
"HPDL",1
"MUTYH",20
"TOE1",12
"TESK2",7
"CCDC163",9
"MMACHC",3
"PRDX1",200
"AKR1A1",168
"NASP",49
"CCDC17",1
"GPBP1L1",87
"TMEM69",37
"IPP",9
"MAST2",48
"PIK3R3",5
"AL358075.4",0
"AL358075.1",0
"AL358075.2",0
"TSPAN1",2
"AL672043.1",0
"POMGNT1",82
"LURAP1",14
"RAD54L",1
"LRRC41",114
"UQCRH",216
"NSUN4",38
"FAAH",2
"DMBX1",0
"AL136373.1",0
"MKNK1-AS1",0
"KNCN",0
"MKNK1",75
"MOB3C",9
"ATPAF1",77
"TEX38",0
"EFCAB14-AS1",0
"EFCAB14",118
"CYP4B1",0
"CYP4A11",0
"CYP4X1",4
"CYP4Z1",0
