"","coexpression_counts"
"FOXD3",0
"ALG6",7
"ITGB3BP",30
"EFCAB7",1
"PGM1",117
"ROR1",96
"ROR1-AS1",0
"AL445205.1",2
"UBE2U",0
"CACHD1",4
"RAVER2",9
"JAK1",91
"AL357078.3",0
"AL357078.1",0
"AK4",101
"DNAJC6",2
"AL139294.1",0
"LEPROT",68
"LEPR",14
"AL513493.1",0
"PDE4B",1
"AL590783.1",0
"SGIP1",0
"AL139147.1",0
"TCTEX1D1",1
"INSL5",0
"WDR78",1
"AL592161.1",0
"MIER1",64
"SLC35D1",7
"C1orf141",0
"IL23R",0
"IL12RB2",0
"SERBP1",149
"LINC01702",0
"GADD45A",112
"GNG12",123
"GNG12-AS1",1
"DIRAS3",0
"WLS",22
"RPE65",0
"DEPDC1",9
"AL138789.1",0
"DEPDC1-AS1",0
"AL035412.1",0
"AL033530.1",0
"AL691520.1",0
"LINC01707",0
"AL512271.1",0
"LINC01758",0
"LRRC7",0
"AL158840.1",0
"LRRC40",8
"SRSF11",120
"AL353771.1",0
"ANKRD13C",15
"HHLA3",44
"AL158839.1",0
"CTH",9
"AL354872.2",0
"LINC01788",0
"AL513285.1",0
"PTGER3",2
"AL031429.1",0
"ZRANB2-AS1",0
"ZRANB2",68
"NEGR1",21
"AL354949.1",0
"AL583808.1",0
"AL583808.2",0
"LINC01360",0
"LINC02238",0
"LRRIQ3",0
"FPGT",4
"FPGT-TNNI3K",0
"TNNI3K",0
"AC093158.1",0
"AC105271.1",0
"LRRC53",0
"ERICH3",0
"ERICH3-AS1",0
"AC135803.1",0
"CRYZ",21
"TYW3",37
"AC133865.1",0
"AC099786.3",0
"AC099786.1",0
"LHX8",0
"AC099786.2",0
"SLC44A5",0
"AL357314.1",0
"ACADM",29
"RABGGTB",71
"MSH4",0
"ASB17",0
"AC092813.1",0
"AC092813.2",0
"ST6GALNAC3",0
"AC104458.1",0
"LINC02567",0
"ST6GALNAC5",3
"AL035409.1",0
"PIGK",38
"AK5",6
"AC095030.1",0
"AC118549.1",19
"USP33",21
"MIGA1",33
"NEXN-AS1",1
"NEXN",123
"FUBP1",41
"DNAJB4",50
"GIPC2",1
"AC103591.3",2
"PTGFR",3
"IFI44L",0
"IFI44",4
"ADGRL4",7
"AL353651.2",0
"AL353651.1",0
"AL353651.3",0
"AC099671.1",0
"AC098657.2",0
"AL606519.1",0
"AL136234.1",0
"LINC01781",0
"AC093154.1",0
"ADGRL2",24
"AL138799.4",0
"AC117944.1",0
"AC093580.1",0
"LINC01362",0
"LINC01361",0
"LINC01712",0
"LINC01725",0
"AL035706.1",0
"TTLL7",18
"AC104454.2",0
"AL359504.2",1
"PRKACB",35
"SAMD13",2
"DNASE2B",0
"AL844170.1",0
"RPF1",35
"GNG5",140
"SPATA1",0
"CTBS",19
"AL359762.2",0
"LINC01555",0
"SSX2IP",10
"AC104169.1",0
"LPAR3",0
"MCOLN2",0
"WDR63",0
"MCOLN3",0
"SYDE2",6
"C1orf52",53
"BCL10",49
"AL078459.1",0
"DDAH1",112
"AL360219.1",2
