"","coexpression_counts"
"PTPRF",54
"AL451062.3",0
"KDM4A",24
"KDM4A-AS1",3
"ST3GAL3",17
"AL451062.1",0
"ARTN",0
"AL357079.1",0
"IPO13",22
"DPH2",27
"ATP6V0B",56
"B4GALT2",50
"CCDC24",3
"SLC6A9",7
"AL139220.2",5
"KLF17",0
"KLF18",0
"DMAP1",42
"ERI3",53
"RNF220",41
"TMEM53",20
"ARMH1",0
"KIF2C",17
"AL592166.1",0
"RPS8",56
"BEST4",2
"PLK3",41
"TCTEX1D4",1
"BTBD19",13
"PTCH2",0
"EIF2B3",43
"HECTD3",29
"UROD",55
"ZSWIM5",6
"LINC01144",0
"HPDL",5
"MUTYH",15
"TOE1",31
"TESK2",1
"CCDC163",4
"MMACHC",10
"PRDX1",56
"AKR1A1",55
"NASP",52
"CCDC17",0
"GPBP1L1",34
"TMEM69",27
"IPP",20
"MAST2",28
"PIK3R3",3
"AL358075.4",0
"AL358075.1",0
"AL358075.2",0
"TSPAN1",0
"AL672043.1",0
"POMGNT1",44
"LURAP1",4
"RAD54L",9
"LRRC41",46
"UQCRH",56
"NSUN4",22
"FAAH",0
"DMBX1",0
"AL136373.1",0
"MKNK1-AS1",0
"KNCN",0
"MKNK1",30
"MOB3C",9
"ATPAF1",39
"TEX38",0
"EFCAB14-AS1",0
"EFCAB14",50
"CYP4B1",0
"CYP4A11",0
"CYP4X1",2
"CYP4Z1",0
"CYP4A22-AS1",0
"CYP4A22",0
"LINC00853",0
"PDZK1IP1",5
"TAL1",0
"AL135960.1",0
"STIL",17
"CMPK1",54
"LINC01389",0
"FOXE3",0
"FOXD2-AS1",0
"FOXD2",0
"LINC01738",0
"TRABD2B",0
"AL691459.1",0
"AC096541.1",0
"AL356289.1",0
"AL356289.2",0
"AL109659.1",0
"SLC5A9",0
"AL109659.2",1
"SPATA6",19
"AGBL4",0
"BEND5",0
"AC099788.1",0
"AL590432.1",0
"ELAVL4",0
"AL592182.2",0
"AL592182.1",0
"AL596275.2",0
"AL592182.3",0
"DMRTA2",0
"FAF1",35
"AL049637.1",0
"CDKN2C",23
"C1orf185",0
"LINC01562",0
"RNF11",53
"AL162430.2",0
"TTC39A",0
"TTC39A-AS1",0
"EPS15",46
"AC104170.2",0
"AC104170.1",1
"OSBPL9",50
"NRDC",54
"AL050343.1",1
"AL050343.2",0
"RAB3B",52
"TXNDC12",54
"KTI12",35
"AL445685.1",0
"TXNDC12-AS1",0
"BTF3L4",52
"ZFYVE9",22
"CC2D1B",23
"AL513218.1",0
"ORC1",7
"PRPF38A",37
"TUT4",42
"AL591167.1",1
"GPX7",28
"SHISAL2A",0
"COA7",36
"ZYG11B",43
"ZYG11A",2
"AC099677.4",0
"ECHDC2",37
"SCP2",55
"PODN",1
"AL445183.1",0
"SLC1A7",0
"AL445183.2",0
"CPT2",33
"AL606760.2",0
"C1orf123",45
"AL606760.3",0
"MAGOH",53
"AL606760.1",2
"LRP8",22
"AL355483.4",0
"AL355483.2",0
"AL355483.3",0
"LINC01771",0
"AC119428.1",0
"AC119428.2",0
"DMRTB1",0
"GLIS1",3
"NDC1",27
"YIPF1",29
"DIO1",0
"HSPB11",53
"LRRC42",44
"LDLRAD1",0
"TMEM59",56
"TCEANC2",14
"AL357673.1",0
"CDCP2",0
"AL357673.2",0
"CYB5RL",13
"MRPL37",53
"SSBP3",46
"SSBP3-AS1",0
"AL161644.1",0
"AL035415.1",0
"AC099796.1",0
"ACOT11",11
"FAM151A",0
"MROH7",0
"MROH7-TTC4",0
"TTC4",8
"PARS2",9
"TTC22",0
"AC096536.2",0
"LEXM",0
"DHCR24",37
"AC096536.3",0
"AC096536.1",3
"TMEM61",0
"AL590440.1",0
"BSND",0
"PCSK9",0
"USP24",34
"MIR4422HG",0
"AL603840.1",0
"LINC01753",0
"LINC01755",0
"AL353681.1",0
"AC119674.1",0
"AC119674.2",2
"LINC01767",0
"PLPP3",30
"PRKAA2",11
"FYB2",0
"AL360295.1",0
"C8A",0
"C8B",0
"AL161740.1",0
"DAB1",0
"AL390243.1",0
"DAB1-AS1",0
"AL445193.2",0
"OMA1",26
"TACSTD2",2
"MYSM1",29
"AL136985.3",1
"JUN",54
"LINC01135",0
"AL136985.2",0
"AL136985.1",0
"AC105277.1",3
"LINC01358",2
"AL592431.2",0
"AL592431.1",0
"AC093424.1",0
"FGGY",30
"AL035416.1",0
"HOOK1",0
"CYP2J2",1
"C1orf87",0
"AC097066.1",0
"LINC01748",0
"AC099792.1",0
"NFIA",38
"NFIA-AS2",0
"AC099791.3",0
"TM2D1",49
"AC099791.2",2
"PATJ",10
"L1TD1",0
"KANK4",0
"USP1",37
"DOCK7",51
"ANGPTL3",0
"AC103923.1",1
"ATG4C",15
"AC099794.1",0
"LINC01739",0
"AL162400.1",0
"AL162400.2",0
"AC096543.1",0
"AC096543.2",0
"FOXD3-AS1",0
"FOXD3",0
"ALG6",20
"ITGB3BP",29
"EFCAB7",7
"PGM1",47
"ROR1",18
"ROR1-AS1",2
"AL445205.1",0
"UBE2U",2
"CACHD1",10
"RAVER2",10
"JAK1",56
"AL357078.3",0
"AL357078.1",0
"AK4",45
"DNAJC6",0
"AL139294.1",0
