"Gene","Correlation"
"HSP90B1",0.109676411666517
"IP6K2",0.10966968422302
"PTGIS",0.109663799513791
"MAPK1IP1L",0.109623726772329
"RPS14",0.109619139647854
"ACVR2A",0.109611748673487
"C1QTNF6",0.109605693556944
"HEG1",0.10957197730403
"MIEF2",0.109510118725688
"CERS2",0.109423271639701
"AL109615.3",0.109412212534874
"UBC",0.109407130455675
"PFDN5",0.109364012653229
"TCEA2",0.109335213671013
"RPLP2",0.109317484307093
"BAG3",0.109206055785462
"SMO",0.109195563153976
"MICAL2",0.109174943134373
"ZC3H6",0.109154694691154
"PLXNB2",0.109114151897528
"DNAJB11",0.109023283630588
"UQCRB",0.109019052968183
"AC009093.4",0.108967200018985
"ARL4C",0.108903971019713
"SSR3",0.10887680238032
"UGGT2",0.108866011073749
"B3GALT5",0.108832599702457
"EMILIN1",0.108791003266785
"SDF4",0.108755890238214
"RPL5",0.108748546456769
"BTG3",0.108742048564279
"VLDLR-AS1",0.108736457164619
"FXYD5",0.108714127388306
"GABARAPL2",0.10871088730941
"MRPL37",0.108679366427932
"RPS12",0.1086505770621
"SAP30L",0.108630655031172
"AFAP1",0.108606221082487
"RPS4X",0.108576073970277
"MED28",0.108423935232383
"HLA-B",0.108418661227526
"PCBP1",0.108398969793569
"SIRPA",0.10830400243518
"TXNDC16",0.108248770863413
"PPDPF",0.108180633274955
"UQCR10",0.10812823278213
"COX7A2L",0.108072246850213
"UGDH",0.108054923852706
"ZNF280B",0.108033319258689
"SPTAN1",0.108019082988864
"SHMT2",0.108000783976638
"PINK1",0.108000151054631
"LPAR6",0.107884195942661
"PHRF1",0.107882859129568
"CPT1C",0.107844239856922
"GRN",0.107836284173735
"KCNJ8",0.107720431852129
"SNX32",0.107685679851841
"NDUFB7",0.107674424634616
"LARP6",0.107671088392242
"COLGALT1",0.107648850391225
"ZNHIT1",0.107622517871916
"ADH5",0.107612125086852
"WDR26",0.107461801704248
"DSC3",0.107444710933562
"DCST2",0.107423044838338
"NBEAL1",0.107349072110457
"GBA",0.107260073656632
"EVI5",0.107172603850316
"RPL18",0.10709572891718
"ZNF711",0.107043689659231
"TULP3",0.107033002651895
"RPS19",0.106961755530042
"HTRA1",0.106960609469022
"FAU",0.106946863144268
"CSDE1",0.106929506997602
"RPS15A",0.10689918755209
"SCD",0.106898453666074
"SSR2",0.106847234260712
"PKM",0.10683673950707
"AC068987.5",0.10683033599667
"MYDGF",0.1067974816529
"AL445228.2",0.106793239373879
"AC092040.1",0.106735162636416
"SCYL1",0.106733324231918
"RPL11",0.106729915889253
"MNT",0.106708483267645
"CUTA",0.106681628482068
"MZT2A",0.106676204034713
"RPL10",0.106666380757463
"EDF1",0.106663304831981
"SURF4",0.106571522598051
"GPAA1",0.106523639625662
"LINC02176",0.106519241560467
"TMPRSS3",0.106518372845982
"TYW3",0.106496301778166
"MYO9B",0.106495191868953
"GLB1",0.106426887642585
"PABPC1",0.106413986273653
"AC126763.1",0.106406755647741
"EIF5A2",0.106383552815319
"ALDH2",0.106343024396712
"DCTN1",0.106331870189259
"AC109347.2",0.106328883841155
"UCHL1",0.106325069838463
"TPGS2",0.106300521169767
"SOD3",0.106255661819803
"SLC16A1",0.106240901149412
"SCAMP3",0.106163185282225
"NAP1L1",0.106148103479863
"RPL29",0.106107938803998
"RPL28",0.106104142440359
"TPT1",0.106025530037025
"PHF23",0.106022730516458
"LIN7B",0.106022129120794
"C1orf43",0.106017741424111
"FZD3",0.105903400249785
"COPA",0.105902074042886
"TM9SF3",0.105870113369456
"ZNF581",0.105851729343401
"BCL2",0.10577228038829
"KIF21B",0.105755719510691
"REXO2",0.105748429952104
"AK5",0.105679773739104
"QPCT",0.105643094518532
"TIPARP",0.105502914766436
"KIAA1191",0.105412132771066
"SEC11A",0.105388975971012
"UBL5",0.105374705115803
"HSPA9",0.105369359635019
"UBXN1",0.105362083306869
"UTP14C",0.10535002729479
"ZNF791",0.105320724732621
"FARP2",0.105263251358911
"RPL9",0.105234956092932
"FAM196B",0.105200624688661
"AC111182.1",0.10516832587841
"PRKCSH",0.105152926002598
"TMEM259",0.105082332074022
